ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1409743,772940,1,1,1,0,2018-07-31,2018-07-31
-1409729,772960,1,1,1,0,2019-07-07,2019-07-07
-1409720,769888,1,1,1,0,2016-07-18,2016-07-18
-1409717,770216,1,1,1,1,2016-08-05,2016-08-05
-1409713,774253,1,1,1,0,2019-04-17,2019-04-17
-1409705,773013,1,1,1,1,2016-05-18,2016-05-18
-1409702,773636,1,1,1,0,2018-05-26,2018-05-26
-1409701,770501,1,1,1,1,2016-09-23,2016-09-23
-1409694,770795,1,1,1,0,2019-07-04,2019-07-04
-1409692,774182,1,1,1,1,2018-05-08,2018-05-08
-1409683,770662,1,1,1,1,2016-07-22,2016-07-22
-1409682,774516,1,1,1,0,2019-05-17,2019-05-17
-1409679,772168,1,1,1,1,2018-09-03,2018-09-03
-1409675,771114,1,1,1,0,2019-04-29,2019-04-29
-1409672,772785,1,1,1,0,2018-09-27,2018-09-27
-1409668,771198,1,1,1,1,2018-02-19,2018-02-19
-1409666,772728,1,1,1,0,2019-06-11,2019-06-11
-1409661,771513,1,1,1,1,2016-10-27,2016-10-27
-1409651,773234,1,1,1,1,2018-09-12,2018-09-12
-1409650,772246,1,1,1,1,2019-04-13,2019-04-13
-1409643,770211,1,1,1,0,2018-04-27,2018-04-27
-1409635,773007,1,1,1,1,2018-12-27,2018-12-27
-1409626,773875,1,1,1,1,2018-08-02,2018-08-02
-1409623,771533,1,1,1,1,2019-07-23,2019-07-23
-1409622,773551,1,1,1,1,2016-10-27,2016-10-27
-1409615,770110,1,1,1,0,2017-07-19,2017-07-19
-1409610,774105,1,1,1,0,2019-04-26,2019-04-26
-1409606,770875,1,1,1,1,2016-05-20,2016-05-20
-1409605,771013,1,1,1,1,2019-04-28,2019-04-28
-1409572,771518,1,1,1,1,2019-06-09,2019-06-09
-1409553,770370,1,1,1,1,2018-04-05,2018-04-05
-1409551,773566,1,1,1,1,2018-02-21,2018-02-21
-1409548,769934,1,1,1,1,2017-04-22,2017-04-22
-1409547,770408,1,1,1,1,2018-05-21,2018-05-21
-1409529,772973,1,1,1,1,2018-10-21,2018-10-21
-1409515,771363,1,1,1,0,2016-04-08,2016-04-08
-1409507,770664,1,1,1,1,2018-04-13,2018-04-13
-1409505,773701,1,1,1,0,2018-04-22,2018-04-22
-1409496,773865,1,1,1,0,2019-04-17,2019-04-17
-1409487,770957,1,1,1,1,2019-07-15,2019-07-15
-1409471,771733,1,1,1,0,2018-04-27,2018-04-27
-1409464,773983,1,1,1,1,2018-07-01,2018-07-01
-1409461,773401,1,1,1,1,2019-07-16,2019-07-16
-1409448,771313,1,1,1,0,2016-06-24,2016-06-24
-1409442,771448,1,1,1,0,2016-07-13,2016-07-13
-1409439,769957,1,1,1,1,2016-05-19,2016-05-19
-1409435,774294,1,1,1,1,2018-11-21,2018-11-21
-1409417,770987,1,1,1,0,2018-10-28,2018-10-28
-1409393,774189,1,1,1,1,2016-09-23,2016-09-23
-1409387,773075,1,1,1,0,2018-10-28,2018-10-28
