ix,iy,count
-1408291,771280,1
-1408291,771436,1
-1408291,772656,1
-1408291,772663,1
-1408291,772667,1
-1408291,772668,1
-1408291,772914,1
-1408291,773817,1
-1408290,770592,1
-1408290,770597,1
-1408290,771293,1
-1408290,771318,1
-1408290,771365,1
-1408290,771446,1
-1408290,771456,1
-1408290,771752,1
-1408290,771776,1
-1408290,772660,1
-1408290,772661,2
-1408290,772662,1
-1408290,773090,1
-1408290,774302,1
-1408289,770128,1
-1408289,770554,1
-1408289,770904,1
-1408289,771284,1
-1408289,771287,1
-1408289,771360,4
-1408289,771371,1
-1408289,771383,1
-1408289,771434,1
-1408289,771463,1
-1408289,771476,1
-1408289,771854,1
-1408289,771895,1
-1408289,772524,1
-1408289,772649,1
-1408289,772658,4
-1408289,772660,1
-1408289,772661,1
-1408289,772662,1
-1408289,772663,1
-1408289,772664,1
-1408289,772667,1
-1408289,772668,1
-1408289,772673,1
-1408289,773022,1
-1408289,773103,1
-1408289,773266,1
-1408289,774445,1
-1408288,769996,1
-1408288,770129,1
-1408288,771079,1
-1408288,771089,1
-1408288,771327,1
-1408288,771376,1
-1408288,771378,1
-1408288,771435,1
-1408288,771439,1
-1408288,771441,4
-1408288,771467,1
-1408288,771938,1
-1408288,772661,1
-1408288,772662,2
-1408288,772663,1
-1408288,772664,1
-1408288,772665,1
-1408288,772667,1
-1408288,773084,1
-1408288,773086,1
-1408288,773092,1
-1408288,773316,1
-1408287,770596,1
-1408287,770897,1
-1408287,771260,1
-1408287,771292,1
-1408287,771337,21
-1408287,771341,1
-1408287,771343,1
-1408287,771346,1
-1408287,771350,1
-1408287,771377,1
-1408287,771378,1
-1408287,771439,1
-1408287,771457,1
-1408287,771874,1
-1408287,771937,20
-1408287,771938,4
-1408287,772510,1
-1408287,772518,1
-1408287,772637,1
-1408287,772651,1
-1408287,772661,2
-1408287,772663,2
-1408287,772929,1
-1408287,773096,1
-1408287,773103,1
-1408287,773140,1
-1408287,773171,1
-1408286,771079,1
-1408286,771289,2
-1408286,771291,1
-1408286,771329,1
-1408286,771333,4
-1408286,771338,2
-1408286,771900,1
-1408286,771934,1
-1408286,772660,1
-1408286,772662,2
-1408286,772663,3
-1408286,772666,1
-1408286,772667,1
-1408286,773317,1
-1408286,773819,1
-1408285,770425,1
-1408285,770585,1
-1408285,770592,1
-1408285,771290,1
-1408285,771292,1
-1408285,771327,1
-1408285,771337,18
-1408285,771339,1
-1408285,771346,1
-1408285,771348,1
-1408285,771369,1
-1408285,771389,1
-1408285,771434,1
-1408285,771441,1
-1408285,771444,1
-1408285,771745,1
-1408285,771932,1
-1408285,771936,1
-1408285,772302,1
-1408285,772656,1
-1408285,772659,1
-1408285,772660,1
-1408285,772662,1
-1408285,772663,1
-1408285,772668,1
-1408285,773177,1
-1408285,773819,1
-1408285,774444,15
-1408284,771025,1
-1408284,771291,1
-1408284,771297,1
-1408284,771332,1
-1408284,771333,1
-1408284,771337,1
-1408284,771341,1
-1408284,771353,1
-1408284,771368,1
-1408284,771435,1
-1408284,771442,1
-1408284,771452,1
-1408284,771457,12
-1408284,771469,7
-1408284,771781,1
-1408284,771932,1
-1408284,772122,1
-1408284,772659,1
-1408284,772660,1
-1408284,772662,2
-1408284,772944,1
-1408284,773097,1
-1408284,773099,1
-1408284,773102,1
-1408284,773135,1
-1408284,773322,1
-1408284,774444,2
-1408283,771279,1
-1408283,771289,1
-1408283,771293,1
-1408283,771328,1
-1408283,771329,2
-1408283,771330,1
-1408283,771331,1
-1408283,771352,1
-1408283,771368,1
-1408283,771379,1
-1408283,771382,1
-1408283,771385,1
-1408283,771473,1
-1408283,771933,1
-1408283,772149,1
-1408283,773129,1
-1408283,774249,1
-1408282,771058,1
-1408282,771285,1
-1408282,771326,1
-1408282,771327,1
-1408282,771328,1
-1408282,771337,1
-1408282,771355,1
-1408282,771385,1
-1408282,771391,1
-1408282,771425,1
-1408282,771428,1
-1408282,771438,1
-1408282,771441,1
-1408282,771801,1
-1408282,771871,1
-1408282,771932,1
-1408282,772110,1
-1408282,772662,1
-1408282,772669,1
-1408282,774243,1
-1408282,774247,1
-1408281,770002,1
-1408281,770196,3
-1408281,770205,2
-1408281,770927,1
-1408281,770928,1
-1408281,771293,2
-1408281,771294,1
-1408281,771309,1
-1408281,771334,1
-1408281,771371,1
-1408281,771372,1
-1408281,771396,1
-1408281,771447,1
-1408281,771464,1
-1408281,771466,1
-1408281,771742,1
-1408281,771785,1
-1408281,771812,1
-1408281,771932,1
-1408281,772121,1
-1408281,772660,1
-1408281,772663,1
-1408281,772665,1
-1408281,772694,1
-1408281,773151,1
-1408281,773335,1
-1408281,774202,1
-1408281,774246,1
-1408280,770535,1
-1408280,770587,1
-1408280,771290,1
-1408280,771292,1
-1408280,771301,1
-1408280,771304,1
-1408280,771378,1
-1408280,771383,2
-1408280,771384,1
-1408280,771428,1
-1408280,771562,1
-1408280,771797,1
-1408280,771809,1
-1408280,771813,1
-1408280,772124,1
-1408280,773098,1
-1408280,773826,1
-1408280,773829,1
-1408279,770569,1
-1408279,771309,1
-1408279,771333,1
-1408279,771357,1
-1408279,771381,1
-1408279,771463,1
-1408279,771466,1
-1408279,771810,1
-1408279,771812,2
-1408279,771814,1
-1408279,771816,2
-1408279,772339,1
-1408279,773006,1
-1408279,773046,1
-1408279,773336,1
-1408278,769737,1
-1408278,771243,1
-1408278,771279,1
-1408278,771291,1
-1408278,771294,9
-1408278,771300,2
-1408278,771303,1
-1408278,771305,1
-1408278,771326,1
-1408278,771347,1
-1408278,771369,1
-1408278,771446,1
-1408278,771462,1
-1408278,771465,1
-1408278,771484,1
-1408278,771813,63
-1408278,771816,1
-1408278,771818,1
-1408278,772338,1
-1408278,772665,1
-1408278,772666,4
-1408278,772667,2
-1408278,772668,2
-1408278,772997,1
-1408278,773094,1
-1408278,773095,1
-1408277,770604,1
-1408277,770890,1
-1408277,771285,1
-1408277,771298,11
-1408277,771302,1
-1408277,771307,1
-1408277,771325,1
-1408277,771339,1
-1408277,771373,2
-1408277,771481,1
-1408277,772474,1
-1408277,772663,1
-1408277,772970,1
-1408277,773000,1
-1408277,773067,1
-1408277,773095,1
-1408276,771297,1
-1408276,771298,6
-1408276,771302,1
-1408276,771307,1
-1408276,771308,1
-1408276,771313,1
-1408276,771330,1
-1408276,771340,1
-1408276,771360,3
-1408276,771378,1
-1408276,771382,1
-1408276,771386,1
-1408276,771813,1
-1408276,771814,1
-1408276,771817,1
-1408276,771826,1
-1408276,772183,1
-1408276,772338,1
-1408276,772464,1
-1408276,772913,1
-1408276,772935,1
-1408276,773084,1
-1408275,770201,1
-1408275,770593,1
-1408275,771058,1
-1408275,771278,2
-1408275,771288,1
-1408275,771294,1
-1408275,771302,1
-1408275,771303,2
-1408275,771311,1
-1408275,771320,1
-1408275,771337,1
-1408275,771389,1
-1408275,771443,1
-1408275,771485,1
-1408275,771775,1
-1408275,771786,1
-1408275,771821,1
-1408275,772348,1
-1408275,772370,1
-1408275,772524,1
-1408275,773003,1
-1408275,773151,1
-1408275,773225,1
-1408274,771254,1
-1408274,771283,1
-1408274,771289,1
-1408274,771297,9
-1408274,771302,3
-1408274,771312,1
-1408274,771314,5
-1408274,771325,1
-1408274,771327,1
-1408274,771363,1
-1408274,771441,1
-1408274,771461,1
-1408274,771814,1
-1408274,772356,1
-1408274,772665,1
-1408274,772906,1
-1408274,773085,1
-1408274,773181,1
-1408273,769989,1
-1408273,770608,1
-1408273,771059,1
-1408273,771269,1
-1408273,771283,1
-1408273,771319,1
-1408273,771324,1
-1408273,771328,1
-1408273,771357,1
-1408273,771358,1
-1408273,771362,1
-1408273,771363,1
-1408273,771373,1
-1408273,771438,1
-1408273,771473,1
-1408273,771474,1
-1408273,771490,1
-1408273,771813,4
-1408273,771818,1
-1408273,772163,1
-1408273,772362,1
-1408273,772541,1
-1408273,772662,1
-1408273,772665,7
-1408273,772667,1
-1408273,772672,1
-1408273,772978,1
-1408273,773000,1
-1408273,773002,1
-1408272,770186,1
-1408272,770216,6
-1408272,770220,1
-1408272,771297,1
-1408272,771301,9
-1408272,771325,1
-1408272,771335,1
-1408272,771337,1
-1408272,771360,1
-1408272,771373,1
-1408272,771467,1
-1408272,771484,2
-1408272,771485,1
-1408272,771823,1
-1408272,772664,2
-1408272,773086,1
-1408271,770915,1
-1408271,771285,1
-1408271,771287,1
-1408271,771291,1
-1408271,771315,1
-1408271,771316,1
-1408271,771337,1
-1408271,771345,1
-1408271,771387,1
-1408271,771495,1
-1408271,772354,1
-1408271,772466,1
-1408271,772670,1
-1408271,772674,1
-1408271,772676,1
-1408271,772882,1
-1408271,773084,1
-1408270,770188,1
-1408270,770195,1
-1408270,771080,1
-1408270,771285,2
-1408270,771299,1
-1408270,771319,17
-1408270,771322,1
-1408270,771325,1
-1408270,771326,12
-1408270,771345,1
-1408270,771377,1
-1408270,771424,3
-1408270,771461,1
-1408270,771480,1
-1408270,771487,1
-1408270,771846,3
-1408270,772356,1
-1408270,772359,1
-1408270,772665,1
-1408270,772671,1
-1408270,772679,1
-1408270,773043,1
-1408270,773067,1
-1408270,773788,1
-1408270,773791,1
-1408269,770187,1
-1408269,770275,1
-1408269,771294,1
-1408269,771309,1
-1408269,771323,1
-1408269,771327,1
-1408269,771328,1
-1408269,771339,1
-1408269,771345,1
-1408269,771348,1
-1408269,771367,1
-1408269,771401,1
-1408269,771448,1
-1408269,771470,1
-1408269,771480,1
-1408269,771485,1
-1408269,771848,1
-1408269,772130,23
-1408269,772350,1
-1408269,772358,1
-1408269,773077,1
-1408268,770193,1
-1408268,770281,1
-1408268,771076,1
-1408268,771288,1
-1408268,771302,1
-1408268,771341,1
-1408268,771365,1
-1408268,771377,1
-1408268,771394,1
-1408268,771479,1
-1408268,771482,1
-1408268,771817,1
-1408268,771922,1
-1408268,772354,2
-1408268,772360,1
-1408268,772664,1
-1408268,772672,1
-1408268,772963,1
